District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Thane,2004 - 2005,100,100,1,18.26,39.804,28.1,9.396,0.47,3.704
Thane,2005 - 2006,200,200,1,16.316,38.776,26.912,8.9,0.248,3.426
Thane,2006 - 2007,200,200,1,17.992,38.466,27.264,10.306,1.13,3.54
Thane,2007 - 2008,200,200,1,17.426,39.982,27.722,9.388,0.196,3.512
Thane,2008 - 2009,100,100,1,17.26,38.954,27.844,9.48,0.228,3.536
Thane,2009 - 2010,100,100,1,17.512,39.142,27.792,9.72,0.882,3.512
Thane,2010 - 2011,100,200,2,17.806,38.592,27.802,10.964,0.614,3.532
Thane,2011 - 2012,100,100,1,17.298,39.262,27.796,9.122,0.102,3.594
Thane,2015 - 2016,2,2,1,16.758,39.79,27.77,9.98,0.628,3.446
Thane,2016 - 2017,1,2,2,17.804,39.542,27.522,8.978,0.088,3.62
Thane,2017 - 2018,0.5,1,2,16.87,39.276,27.304,8.832,0.19,3.576
Wardha,1999 - 2000,"21,000.00","25,500.00",1.21,15.844,39.112,27.754,8.43,0.32,3.048
Wardha,2000 - 2001,"19,300.00","22,500.00",1.17,16.692,40.108,28.442,7.654,0.286,3.16
Wardha,2001 - 2002,"18,900.00","24,700.00",1.31,16.69,39.402,28.08,10.024,0.632,3.116
Wardha,2002 - 2003,"19,900.00","24,100.00",1.21,17.652,40.218,29.216,8.448,0.328,3.192
Wardha,2003 - 2004,"20,700.00","25,000.00",1.21,16.086,38.444,28.056,9.508,0.32,3.09
Wardha,2004 - 2005,"15,500.00","18,100.00",1.17,17.696,39.442,28.784,9.362,0.292,3.154
Wardha,2005 - 2006,"19,000.00","24,000.00",1.26,15.742,37.684,27.102,9.418,0.266,2.86
Wardha,2006 - 2007,"25,300.00","37,500.00",1.48,16.92,38.066,27.476,11.612,1.18,2.678
Wardha,2007 - 2008,"27,700.00","47,500.00",1.71,17.146,39.064,28.36,9.392,0.272,2.926
Wardha,2008 - 2009,"19,200.00","25,000.00",1.3,16.89,38.966,28.272,9.794,0.752,2.886
Wardha,2009 - 2010,"23,500.00","32,400.00",1.38,17.228,39.312,28.486,9.512,0.818,2.892
Wardha,2010 - 2011,"29,500.00","49,000.00",1.66,17.762,38.622,28.942,10.778,0.564,3.066
Wardha,2011 - 2012,"23,100.00","34,400.00",1.49,17.192,38.76,28.138,9.344,0.32,2.942
Wardha,2012 - 2013,"23,700.00","36,000.00",1.52,16.004,38.666,28.326,9.228,0.284,3.046
Wardha,2013 - 2014,"25,700.00","33,700.00",1.31,16.474,38.102,27.894,10.186,0.332,3.124
Wardha,2014 - 2015,"13,700.00","19,900.00",1.45,15.832,39.512,27.776,9.774,0.798,2.718
Wardha,2015 - 2016,"13,200.00","15,600.00",1.18,16.29,39.906,28.396,10.08,0.544,3.136
Wardha,2016 - 2017,"14,500.00","22,000.00",1.52,17.156,39.034,28.188,9.724,0.304,3.052
Wardha,2017 - 2018,"14,816.00","21,900.00",1.48,16.486,39.896,28.556,8.774,0.35,3.006
Wardha,2018 - 2019,"12,750.00","21,700.00",1.7,17.376,39.938,29.002,9.158,0.4,2.89
Wardha,2019 - 2020,"13,979.00","19,322.00",1.38,16.246,38.38,28.152,10.27,0.244,2.978
Wardha,2020 - 2021,"15,888.04","34,245.79",2.16,16.086,37.586,27.366,10.776,0.53,2.83
Wardha,2021 - 2022,"15,808.80","36,380.00",2.3,15.998,37.154,27.39,10.954,0.646,2.768
Wardha,2022 - 2023,"16,423.62","27,082.55",1.65,17.28,38.694,28.318,10.23,0.18,2.726
Washim,1999 - 2000,"17,600.00","19,300.00",1.1,16.348,39.454,27.99,0,0,0
Washim,2000 - 2001,"12,800.00","12,400.00",0.97,16.752,39.882,28.576,0,0,0
Washim,2001 - 2002,"15,100.00","21,300.00",1.41,17.988,39.326,28.412,0,0,0
Washim,2002 - 2003,"16,300.00","20,900.00",1.28,18.448,40.086,29.518,0,0,0
Washim,2003 - 2004,"11,900.00","14,100.00",1.18,17.152,38.582,28.418,0,0,0
Washim,2004 - 2005,"3,000.00","2,200.00",0.73,17.874,39.212,28.564,0,0,0
Washim,2005 - 2006,"11,300.00","14,500.00",1.28,16.43,37.154,27.18,0,0,0
Washim,2006 - 2007,"18,800.00","27,800.00",1.48,17.206,37.852,27.43,0,0,0
