District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,,
Osmanabad,2019 - 2020,"7,677.00","2,337.00",0.3,21.508,35.352,27.038,16.534,3.566,5.326,,,
Osmanabad,2020 - 2021,"7,314.29","3,675.91",0.5,20.596,32.744,25.818,17.218,5.576,4.422,,,
Osmanabad,2021 - 2022,"6,302.77","2,412.70",0.38,19.83,33.552,26.076,16.466,2.866,4.826,,,
Osmanabad,2022 - 2023,232,83,0.36,19.76,33.56,25.842,16.684,4.308,4.518,,,
Parbhani,1999 - 2000,"7,400.00","5,200.00",0.7,19.868,34.298,25.874,16.172,3.072,4.64,,,
Parbhani,2000 - 2001,"9,200.00","6,000.00",0.65,19.83,33.262,25.98,16.708,4.78,4.056,,,
Parbhani,2001 - 2002,"9,600.00","4,300.00",0.45,19.69,34.046,25.856,16.466,4.25,4.472,,,
Parbhani,2002 - 2003,"9,800.00","8,300.00",0.85,19.942,34.978,26.444,16.286,4.076,4.462,,,
Parbhani,2003 - 2004,"9,700.00","7,100.00",0.73,19.832,34.554,26.308,16.68,4.736,4.414,,,
Parbhani,2004 - 2005,"10,500.00","5,900.00",0.56,19.888,34.372,26.244,16.35,3.39,4.446,,,
Parbhani,2005 - 2006,"6,500.00","4,200.00",0.65,20.216,33.868,26.22,17.244,6.502,4.434,,,
Parbhani,2006 - 2007,"6,700.00","3,800.00",0.57,20.364,33.212,25.908,16.786,5.062,4.46,,,
Parbhani,2007 - 2008,"6,300.00","4,300.00",0.68,19.896,33.56,25.814,17.02,5.464,4.164,,,
Parbhani,2008 - 2009,"6,200.00","4,500.00",0.73,19.454,34.438,26,16.4,4.986,4.074,,,
Parbhani,2009 - 2010,"6,500.00","3,400.00",0.52,20.374,34.98,26.804,16.43,4.082,4.478,,,
Parbhani,2010 - 2011,"7,500.00","4,900.00",0.65,19.796,33.156,26.078,17.526,6.068,3.966,,,
Parbhani,2011 - 2012,"5,400.00","5,000.00",0.93,20.47,33.926,26.156,16.506,3.802,4.508,,,
Parbhani,2012 - 2013,"5,600.00","4,000.00",0.71,20.052,34.328,26.226,16.114,4.128,4.51,,,
Parbhani,2013 - 2014,"3,200.00","2,000.00",0.63,19.936,31.866,25.328,17.24,6.034,4.504,,,
