District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,,
Yavatmal,2002 - 2003,"5,600.00","3,500.00",0.63,20.948,35.148,27.358,0,0,0,,,
Yavatmal,2003 - 2004,"5,000.00","2,200.00",0.44,21.274,34.588,27.156,0,0,0,,,
Yavatmal,2004 - 2005,"3,600.00","1,600.00",0.44,21.188,35.132,27.352,0,0,0,,,
Yavatmal,2005 - 2006,"3,000.00","1,500.00",0.5,21.16,34.78,27.288,0,0,0,,,
Yavatmal,2006 - 2007,800,400,0.5,21.332,34.442,27.144,0,0,0,,,
Yavatmal,2007 - 2008,700,400,0.57,21.052,34.19,26.77,0,0,0,,,
Yavatmal,2008 - 2009,"1,500.00",800,0.53,20.44,34.47,26.704,0,0,0,,,
Yavatmal,2009 - 2010,"1,500.00","1,100.00",0.73,21.428,35.294,27.704,0,0,0,,,
Yavatmal,2010 - 2011,"1,300.00",700,0.54,20.822,34.404,27.286,0,0,0,,,
Yavatmal,2011 - 2012,400,300,0.75,21.576,35.174,27.344,0,0,0,,,
Yavatmal,2012 - 2013,300,300,1,20.824,34.946,26.958,0,0,0,,,
Yavatmal,2013 - 2014,100,100,1,20.99,32.65,26.21,0,0,0,,,
Yavatmal,2014 - 2015,200,,0,21.394,37.322,28.266,0,0,0,,,
Yavatmal,2015 - 2016,200,0,0,21.67,36.52,28.242,0,0,0,,,
Yavatmal,2016 - 2017,100,44,0.44,20.946,34.242,26.71,0,0,0,,,
Yavatmal,2017 - 2018,37,16,0.43,21.32,34.726,27.286,0,0,0,,,
Yavatmal,2018 - 2019,78,11,0.14,20.87,34.69,26.884,0,0,0,,,
Yavatmal,2019 - 2020,58,13,0.22,22.508,35.206,27.968,0,0,0,,,
Yavatmal,2020 - 2021,58.08,27.42,0.47,21.626,33.252,26.904,0,0,0,,,
Yavatmal,2021 - 2022,58.08,21.03,0.36,21.24,33.068,26.646,0,0,0,,,
Yavatmal,2022 - 2023,40,14,0.35,20.696,34.486,26.826,0,0,0,,,
