District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,,
Amravati,2004 - 2005,"2,68,200.00","2,14,300.00",0.8,10.547,23.15,16.663,6.261,0.622,2.189,,,
Amravati,2005 - 2006,"2,56,400.00","2,22,900.00",0.87,9.801,22.471,16.234,6.039,0.686,2.12,,,
Amravati,2006 - 2007,"2,41,800.00","2,15,200.00",0.89,10.77,22.299,16.483,7.192,0.835,1.888,,,
Amravati,2007 - 2008,"1,75,400.00","3,53,100.00",2.01,10.553,22.782,16.469,6.257,0.628,2.024,,,
Amravati,2008 - 2009,"1,16,100.00","1,85,000.00",1.59,10.29,22.941,16.472,6.232,0.535,2.124,,,
Amravati,2009 - 2010,"1,79,400.00","3,09,200.00",1.72,10.384,22.893,16.747,6.299,1.128,2.179,,,
Amravati,2010 - 2011,"2,04,300.00","3,36,200.00",1.65,10.754,22.519,16.817,7.17,0.866,2.196,,,
Amravati,2011 - 2012,"1,87,400.00","2,70,200.00",1.44,10.644,22.63,16.378,6.634,0.569,2.102,,,
Amravati,2012 - 2013,"1,91,300.00","6,11,500.00",3.2,10.248,22.685,16.556,6.514,0.65,2.207,,,
Amravati,2013 - 2014,"1,86,700.00","6,33,200.00",3.39,10.72,22.424,16.163,7.082,1.481,2.161,,,
Amravati,2014 - 2015,"1,96,500.00","1,96,200.00",1,10.784,23.496,17.039,5.966,0.341,2.059,,,
Amravati,2015 - 2016,"2,00,000.00","4,17,000.00",2.09,10.682,23.483,16.825,6.575,1.085,2.116,,,
Amravati,2016 - 2017,"2,00,300.00","8,04,000.00",4.01,10.444,22.891,16.518,6.318,0.823,2.024,,,
Amravati,2017 - 2018,"2,07,457.00","3,80,300.00",1.83,10.544,22.753,16.738,6.109,0.742,2.101,,,
Amravati,2018 - 2019,"2,09,583.00","6,26,027.00",2.99,10.501,23.366,16.935,5.905,0.923,1.9,,,
Amravati,2019 - 2020,"2,76,078.00","4,60,287.00",1.67,10.405,22.403,16.738,6.785,0.633,2.068,,,
Amravati,2020 - 2021,"2,76,100.00","7,40,400.00",2.68,10.028,21.772,16.138,7.083,0.827,1.877,,,
Amravati,2021 - 2022,"2,75,800.00","6,18,900.00",2.24,9.743,21.32,15.812,7.561,1.237,1.894,,,
Amravati,2022 - 2023,"2,72,890.17","3,87,477.41",1.42,10.367,22.517,16.457,6.837,0.897,1.936,,,
Aurangabad,1999 - 2000,"1,59,500.00","1,13,200.00",0.71,10.819,22.344,16.348,7.808,0.819,2.524,,,
Aurangabad,2000 - 2001,"1,32,400.00","55,200.00",0.42,11.477,22.351,16.623,8.045,1.074,2.344,,,
Aurangabad,2001 - 2002,"1,41,300.00","91,500.00",0.65,11.205,22.165,16.412,8.446,1.378,2.559,,,
Aurangabad,2002 - 2003,"1,35,500.00","75,500.00",0.56,11.567,23.149,17.069,8.175,1.333,2.415,,,
Aurangabad,2003 - 2004,"1,68,000.00","1,43,700.00",0.86,11.381,22.948,16.927,7.943,0.865,2.558,,,
Aurangabad,2004 - 2005,"2,09,500.00","2,63,200.00",1.26,11.332,22.042,16.372,8.537,1.185,2.494,,,
Aurangabad,2005 - 2006,"2,50,100.00","3,22,700.00",1.29,11.172,21.754,16.171,8.565,1.644,2.385,,,
Aurangabad,2006 - 2007,"2,82,100.00","4,86,300.00",1.72,11.517,21.448,16.284,8.803,1.901,2.184,,,
Aurangabad,2007 - 2008,"3,06,100.00","6,89,800.00",2.25,11.173,22.144,16.4,8.254,1.288,2.363,,,
Aurangabad,2008 - 2009,"2,51,700.00","4,03,500.00",1.6,11.096,22.098,16.581,8.183,0.915,2.454,,,
Aurangabad,2009 - 2010,"2,81,400.00","5,10,600.00",1.81,11.142,22.434,16.675,8.507,1.273,2.389,,,
Aurangabad,2010 - 2011,"3,32,900.00","8,79,200.00",2.64,11.681,21.923,16.628,9.072,1.783,2.444,,,
Aurangabad,2011 - 2012,"3,79,300.00","6,96,500.00",1.84,11.445,22.38,16.77,8.146,0.812,2.525,,,
Aurangabad,2012 - 2013,"3,79,300.00","3,78,400.00",1,11.167,22.37,16.706,8.127,1.193,2.469,,,
Aurangabad,2013 - 2014,"4,22,600.00","10,36,100.00",2.45,11.27,21.5,16.197,8.634,1.336,2.565,,,
Aurangabad,2014 - 2015,"4,22,600.00","2,44,300.00",0.58,11.411,22.629,16.917,8.206,1.058,2.288,,,
Aurangabad,2015 - 2016,"4,58,000.00","2,71,300.00",0.59,11.639,22.944,16.997,8.355,1.103,2.45,,,
Aurangabad,2016 - 2017,"5,06,500.00","9,92,300.00",1.96,11.196,22.448,16.449,8.091,0.966,2.438,,,
Aurangabad,2017 - 2018,"5,21,353.00","4,15,200.00",0.8,11.379,22.23,16.565,8.2,0.943,2.279,,,
Aurangabad,2018 - 2019,"3,85,441.00","3,74,332.00",0.97,11.348,22.748,16.991,8.066,0.721,2.365,,,
Aurangabad,2019 - 2020,"4,34,491.00","6,11,894.00",1.41,11.916,22.033,16.853,8.736,1.15,2.358,,,
Aurangabad,2020 - 2021,"4,54,600.00","8,40,100.00",1.85,11.371,21.396,16.444,8.971,1.745,2.288,,,
Aurangabad,2021 - 2022,"4,54,600.00","4,98,700.00",1.1,11.351,21.04,16.22,9.295,1.468,2.301,,,
Aurangabad,2022 - 2023,"4,00,404.99","4,52,630.51",1.13,11.291,21.905,16.44,8.968,1.413,2.28,,,
Beed,1999 - 2000,"1,11,200.00","87,200.00",0.78,10.48,22.62,16.271,7.591,0.682,2.534,,,
Beed,2000 - 2001,"82,900.00","68,900.00",0.83,11.055,22.146,16.307,7.49,0.938,2.467,,,
Beed,2001 - 2002,"1,08,000.00","79,800.00",0.74,10.939,22.013,16.184,7.863,0.796,2.613,,,
Beed,2002 - 2003,"78,800.00","55,700.00",0.71,11.28,22.927,16.674,7.6,0.923,2.412,,,
Beed,2003 - 2004,"94,900.00","59,700.00",0.63,11.016,22.806,16.772,7.323,0.7,2.511,,,
Beed,2004 - 2005,"1,01,500.00","1,16,600.00",1.15,10.845,21.792,16.013,7.887,0.851,2.538,,,
Beed,2005 - 2006,"1,38,600.00","1,61,400.00",1.16,10.823,21.398,15.789,8.36,1.356,2.124,,,
Beed,2006 - 2007,"1,55,400.00","2,11,400.00",1.36,11.357,21.324,16.038,8.122,1.212,2.306,,,
Beed,2007 - 2008,"1,88,200.00","2,88,800.00",1.53,10.942,21.935,16.118,7.968,1.455,2.302,,,
Beed,2008 - 2009,"2,05,200.00","2,08,400.00",1.02,10.644,21.801,16.186,7.745,0.828,2.495,,,
Beed,2009 - 2010,"2,22,800.00","2,99,600.00",1.34,10.927,22.032,16.42,8.132,1.032,2.368,,,
Beed,2010 - 2011,"2,76,800.00","4,22,200.00",1.53,11.329,21.925,16.527,8.412,0.925,2.336,,,
Beed,2011 - 2012,"3,29,000.00","4,18,900.00",1.27,11.372,22.344,16.683,7.575,0.586,2.586,,,
Beed,2012 - 2013,"3,29,000.00","3,41,000.00",1.04,11.036,22.492,16.727,7.63,0.768,2.573,,,
Beed,2013 - 2014,"3,38,600.00","5,46,400.00",1.61,11.02,21.227,15.999,7.875,0.821,2.609,,,
Beed,2014 - 2015,"3,73,300.00","1,67,600.00",0.45,11.136,22.497,16.643,7.78,0.825,2.246,,,
Beed,2015 - 2016,"3,34,100.00","1,01,000.00",0.3,11.397,23.077,16.91,7.99,0.705,2.45,,,
Beed,2016 - 2017,"3,41,400.00","4,76,940.00",1.4,10.903,22.352,16.307,6.982,0.697,2.272,,,
Beed,2017 - 2018,"3,48,509.00","2,77,800.00",0.8,11.082,22.32,16.484,7.638,0.919,2.21,,,
Beed,2018 - 2019,"3,77,515.00","1,35,247.00",0.36,11.058,22.999,16.944,7.212,0.459,2.288,,,
Beed,2019 - 2020,"3,84,957.00","3,76,379.00",0.98,11.936,22.142,16.869,8.154,0.814,2.297,,,
