District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,,
Hingoli,2014 - 2015,"94,700.00","85,400.00",0.9,10.662,23.243,16.975,6.923,0.461,1.927,,,
Hingoli,2015 - 2016,"84,200.00","46,500.00",0.55,11.173,23.679,17.27,7.32,0.645,2.033,,,
Hingoli,2016 - 2017,"75,000.00","1,57,400.00",2.1,10.495,22.656,16.425,7.369,1.035,2.029,,,
Hingoli,2017 - 2018,"86,974.00","1,34,200.00",1.54,10.947,23.053,16.897,7.42,1.13,1.801,,,
Hingoli,2018 - 2019,"83,681.00","1,63,749.00",1.96,10.798,23.22,17.032,7.488,0.759,1.879,,,
Hingoli,2019 - 2020,"47,011.00","1,18,022.00",2.51,11.265,22.452,17.024,8.066,0.85,1.773,,,
Hingoli,2020 - 2021,"45,700.00","85,600.00",1.87,10.776,21.758,16.349,8.357,1.342,1.786,,,
Hingoli,2021 - 2022,"44,900.00","78,700.00",1.75,10.397,21.231,15.941,8.622,1.256,1.828,,,
Hingoli,2022 - 2023,"32,475.94","78,215.44",2.41,10.537,22.253,16.444,8.104,0.768,1.787,,,
Jalgaon,1999 - 2000,"3,99,100.00","5,62,000.00",1.41,0,0,0,0,0,0,,,
Jalgaon,2000 - 2001,"4,11,500.00","2,81,100.00",0.68,0,0,0,0,0,0,,,
Jalgaon,2001 - 2002,"4,03,000.00","5,04,900.00",1.25,0,0,0,0,0,0,,,
Jalgaon,2002 - 2003,"3,84,000.00","4,68,200.00",1.22,0,0,0,0,0,0,,,
Jalgaon,2003 - 2004,"3,83,600.00","5,14,800.00",1.34,0,0,0,0,0,0,,,
Jalgaon,2004 - 2005,"3,96,100.00","6,16,600.00",1.56,0,0,0,0,0,0,,,
Jalgaon,2005 - 2006,"3,93,400.00","6,04,200.00",1.54,0,0,0,0,0,0,,,
Jalgaon,2006 - 2007,"4,20,500.00","8,04,200.00",1.91,0,0,0,0,0,0,,,
Jalgaon,2007 - 2008,"4,16,000.00","9,48,500.00",2.28,0,0,0,0,0,0,,,
Jalgaon,2008 - 2009,"4,34,600.00","7,80,100.00",1.79,0,0,0,0,0,0,,,
Jalgaon,2009 - 2010,"4,13,600.00","6,85,100.00",1.66,0,0,0,0,0,0,,,
Jalgaon,2010 - 2011,"5,09,700.00","10,97,100.00",2.15,0,0,0,0,0,0,,,
Jalgaon,2011 - 2012,"5,48,600.00","10,40,400.00",1.9,0,0,0,0,0,0,,,
Jalgaon,2012 - 2013,"5,58,800.00","8,53,300.00",1.53,0,0,0,0,0,0,,,
Jalgaon,2013 - 2014,"5,58,800.00","15,04,000.00",2.69,0,0,0,0,0,0,,,
Jalgaon,2014 - 2015,"4,71,100.00","7,68,100.00",1.63,0,0,0,0,0,0,,,
Jalgaon,2015 - 2016,"4,61,600.00","6,05,900.00",1.31,0,0,0,0,0,0,,,
Jalgaon,2016 - 2017,"5,04,200.00","14,62,300.00",2.9,0,0,0,0,0,0,,,
Jalgaon,2017 - 2018,"5,14,300.00","8,34,900.00",1.62,0,0,0,0,0,0,,,
Jalgaon,2018 - 2019,"5,03,476.00","9,05,203.00",1.8,0,0,0,0,0,0,,,
Jalgaon,2019 - 2020,"5,34,101.00","5,02,286.00",0.94,0,0,0,0,0,0,,,
Jalgaon,2020 - 2021,"5,40,600.00","14,02,200.00",2.59,0,0,0,0,0,0,,,
Jalgaon,2021 - 2022,"4,89,400.00","7,31,200.00",1.49,0,0,0,0,0,0,,,
Jalgaon,2022 - 2023,"5,31,076.79","12,94,918.60",2.44,0,0,0,0,0,0,,,
Jalna,1999 - 2000,"1,70,300.00","1,21,600.00",0.71,10.483,22.58,16.336,6.481,0.722,2.273,,,
Jalna,2000 - 2001,"1,38,200.00","93,600.00",0.68,11.199,22.753,16.757,6.41,0.925,2.064,,,
Jalna,2001 - 2002,"1,57,200.00","1,83,400.00",1.17,10.859,22.549,16.474,7.124,1.068,2.248,,,
Jalna,2002 - 2003,"1,44,900.00","2,00,000.00",1.38,11.25,23.42,17.102,6.567,1.048,2.124,,,
Jalna,2003 - 2004,"1,56,900.00","1,63,700.00",1.04,11.063,23.16,16.893,6.636,0.77,2.23,,,
Jalna,2004 - 2005,"1,74,000.00","2,06,500.00",1.19,11.012,22.486,16.5,7.114,0.681,2.257,,,
Jalna,2005 - 2006,"2,16,100.00","2,70,400.00",1.25,10.753,22.048,16.214,7.117,1.189,2.015,,,
Jalna,2006 - 2007,"2,33,300.00","5,14,700.00",2.21,11.323,21.724,16.362,7.781,1.073,1.82,,,
Jalna,2007 - 2008,"2,67,500.00","6,49,100.00",2.43,10.978,22.401,16.436,6.969,0.755,2.008,,,
Jalna,2008 - 2009,"2,85,900.00","4,18,300.00",1.46,10.819,22.535,16.647,7.026,0.613,2.096,,,
Jalna,2009 - 2010,"2,90,700.00","5,03,100.00",1.73,10.89,22.728,16.725,6.99,0.899,2.034,,,
Jalna,2010 - 2011,"3,03,300.00","7,76,600.00",2.56,11.41,22.253,16.76,7.706,0.954,2.059,,,
Jalna,2011 - 2012,"3,06,900.00","5,27,100.00",1.72,11.301,22.714,16.843,6.677,0.426,2.185,,,
Jalna,2012 - 2013,"2,89,000.00","1,90,200.00",0.66,10.962,22.668,16.813,6.798,0.699,2.132,,,
Jalna,2013 - 2014,"2,98,800.00","6,81,400.00",2.28,11.059,21.755,16.213,7.658,1.342,2.19,,,
Jalna,2014 - 2015,"2,94,200.00","1,59,100.00",0.54,11.177,23.087,17.041,6.669,0.587,2.002,,,
Jalna,2015 - 2016,"2,86,100.00","1,49,100.00",0.52,11.361,23.44,17.154,6.856,0.656,2.113,,,
Jalna,2016 - 2017,"2,66,400.00","6,98,800.00",2.62,10.976,22.819,16.547,6.84,0.87,2.032,,,
Jalna,2017 - 2018,"2,79,539.00","1,74,600.00",0.62,11.14,22.625,16.718,6.623,0.876,1.974,,,
Jalna,2018 - 2019,"3,02,725.00","3,47,347.00",1.15,11.107,23.252,17.114,6.635,0.658,1.987,,,
Jalna,2019 - 2020,"3,30,994.00","7,71,154.00",2.33,11.607,22.321,16.942,7.442,0.743,1.931,,,
Jalna,2020 - 2021,"3,42,500.00","7,85,900.00",2.29,11.145,21.712,16.497,7.871,1.199,1.885,,,
Jalna,2021 - 2022,"3,33,880.00","6,10,800.00",1.83,10.959,21.237,16.174,8.231,1.086,1.908,,,
Jalna,2022 - 2023,"3,03,128.95","6,87,786.40",2.27,10.92,22.25,16.458,7.633,0.707,1.879,,,
Kolhapur,1999 - 2000,100,100,1,10.421,21.199,15.088,8.051,2.232,2.113,,,
Kolhapur,2000 - 2001,100,100,1,10.69,21.3,15.187,8.019,1.776,2.088,,,
Kolhapur,2001 - 2002,100,100,1,10.771,21.245,15.389,7.998,1.292,2.289,,,
Kolhapur,2002 - 2003,100,100,1,11.256,22.103,15.778,8.103,1.91,1.986,,,
Kolhapur,2003 - 2004,100,100,1,10.747,22.234,15.941,7.809,1.467,2.049,,,
Kolhapur,2004 - 2005,100,100,1,10.715,21.102,15.285,7.923,1.843,2.244,,,
Kolhapur,2005 - 2006,100,100,1,10.337,20.85,15.08,8.177,2.068,2.002,,,
Kolhapur,2006 - 2007,100,200,2,11.088,20.472,15.246,8.477,2.722,2.097,,,
Kolhapur,2007 - 2008,100,100,1,10.615,21.105,15.301,8.389,2.61,2.029,,,
Kolhapur,2008 - 2009,100,200,2,10.37,20.937,15.277,8.153,1.461,2.167,,,
Kolhapur,2009 - 2010,100,100,1,10.846,20.767,15.449,8.578,1.804,2.04,,,
Kolhapur,2010 - 2011,100,200,2,11.045,20.798,15.498,8.992,2.17,1.977,,,
Kolhapur,2017 - 2018,13,12,0.92,10.671,20.909,15.321,8.306,1.545,2.004,,,
Latur,1999 - 2000,"28,000.00","18,700.00",0.67,10.223,22.603,16.139,7.736,0.515,2.42,,,
Latur,2000 - 2001,"22,200.00","19,700.00",0.89,10.658,22.042,16.101,7.919,1.063,2.301,,,
Latur,2001 - 2002,"17,100.00","14,400.00",0.84,10.696,21.754,15.976,8.155,0.995,2.464,,,
Latur,2002 - 2003,"9,800.00","5,900.00",0.6,11.03,22.856,16.472,8.136,1.313,2.264,,,
Latur,2003 - 2004,"5,600.00","5,000.00",0.89,10.753,22.673,16.607,7.573,0.808,2.361,,,
Latur,2004 - 2005,"7,000.00","6,700.00",0.96,10.402,21.748,15.84,8.327,1.016,2.346,,,
Latur,2005 - 2006,"3,400.00","3,400.00",1,10.41,21.198,15.49,8.774,1.684,1.975,,,
Latur,2006 - 2007,"2,600.00","2,500.00",0.96,11.056,21.324,15.878,8.445,1.218,2.145,,,
Latur,2007 - 2008,"1,800.00","2,700.00",1.5,10.712,21.783,15.867,8.191,2.046,2.191,,,
Latur,2008 - 2009,"2,700.00","4,700.00",1.74,10.227,21.702,15.873,7.914,0.698,2.346,,,
Latur,2009 - 2010,"3,200.00","6,000.00",1.88,10.741,21.888,16.252,8.347,1.237,2.221,,,
Latur,2010 - 2011,"3,400.00","8,000.00",2.35,10.968,21.78,16.418,8.683,0.941,2.254,,,
Latur,2011 - 2012,"4,900.00","13,600.00",2.78,11.182,22.279,16.504,7.924,0.764,2.374,,,
Latur,2012 - 2013,"5,500.00","17,800.00",3.24,10.826,22.441,16.599,7.894,0.854,2.406,,,
Latur,2013 - 2014,"4,400.00","14,200.00",3.23,10.741,20.993,15.803,8.273,0.782,2.47,,,
Latur,2014 - 2015,"3,800.00","2,700.00",0.71,10.775,22.266,16.388,7.9,0.728,2.144,,,
Latur,2015 - 2016,"3,300.00","1,600.00",0.48,11.01,22.912,16.756,8.333,0.905,2.29,,,
Latur,2016 - 2017,"2,700.00","11,800.00",4.37,10.609,22.204,16.164,7.358,0.738,2.264,,,
Latur,2017 - 2018,"3,111.00","11,700.00",3.76,10.949,22.254,16.408,7.981,1.05,2.082,,,
Latur,2018 - 2019,"5,861.00","4,963.00",0.85,10.949,23.018,16.873,7.659,0.414,2.205,,,
Latur,2019 - 2020,"6,269.00","9,557.00",1.52,11.815,22.234,16.934,8.485,0.789,2.158,,,
Latur,2020 - 2021,"7,900.00","19,800.00",2.51,10.932,21.026,16.045,8.694,1.21,2.163,,,
Latur,2021 - 2022,"7,900.00","12,600.00",1.59,10.944,20.969,15.936,8.792,1.173,2.183,,,
Latur,2022 - 2023,"7,283.88","27,221.14",3.74,10.7,21.843,16.132,8.723,1.198,2.147,,,
Nagpur,1999 - 2000,"63,400.00","1,03,700.00",1.64,9.963,22.681,16.323,6.68,0.974,1.881,,,
Nagpur,2000 - 2001,"71,100.00","63,100.00",0.89,10.751,23.578,17.013,6.014,0.758,1.859,,,
Nagpur,2001 - 2002,"80,100.00","76,700.00",0.96,10.06,22.759,16.27,7.337,1.474,1.877,,,
Nagpur,2002 - 2003,"73,400.00","71,200.00",0.97,10.904,23.587,17.201,6.301,1.245,1.926,,,
Nagpur,2003 - 2004,"74,300.00","1,15,400.00",1.55,10.601,22.992,16.74,6.784,1.085,1.964,,,
Nagpur,2004 - 2005,"75,300.00","1,04,300.00",1.39,10.9,23.248,16.763,6.738,0.673,1.999,,,
Nagpur,2005 - 2006,"73,300.00","98,800.00",1.35,9.933,22.576,16.405,6.457,1.172,1.792,,,
Nagpur,2006 - 2007,"67,500.00","84,000.00",1.24,11.015,22.655,16.73,7.555,0.784,1.637,,,
Nagpur,2007 - 2008,"63,100.00","1,06,600.00",1.69,10.823,22.808,16.615,6.729,1.225,1.807,,,
Nagpur,2008 - 2009,"44,300.00","63,500.00",1.43,10.373,23.046,16.524,6.785,0.878,1.786,,,
Nagpur,2009 - 2010,"63,600.00","89,000.00",1.4,10.613,23.119,17.012,6.68,1.098,1.798,,,
Nagpur,2010 - 2011,"80,800.00","1,26,000.00",1.56,10.91,22.785,17.118,7.408,0.935,1.899,,,
Nagpur,2011 - 2012,"1,02,100.00","1,41,800.00",1.39,10.828,22.666,16.487,7.158,0.704,1.827,,,
Nagpur,2012 - 2013,"89,400.00","1,76,700.00",1.98,10.358,23.064,16.821,6.759,0.697,1.804,,,
Nagpur,2013 - 2014,"92,400.00","1,50,400.00",1.63,10.794,22.346,16.327,7.525,1.983,1.901,,,
Nagpur,2014 - 2015,"1,11,300.00","1,50,200.00",1.35,10.77,23.387,16.942,6.68,0.509,1.846,,,
Nagpur,2015 - 2016,"1,26,400.00","1,61,400.00",1.28,10.94,23.397,16.939,7.359,1.473,1.845,,,
Nagpur,2016 - 2017,"1,36,500.00","5,50,200.00",4.03,10.517,22.851,16.629,6.971,1.034,1.788,,,
Nagpur,2017 - 2018,"1,45,168.00","3,47,600.00",2.39,10.792,23.085,16.915,6.788,0.956,1.819,,,
Nagpur,2018 - 2019,"1,42,626.00","3,24,685.00",2.28,10.605,23.224,16.893,6.839,0.891,1.774,,,
Nagpur,2019 - 2020,"1,53,345.00","4,09,516.00",2.67,10.879,22.551,16.983,7.097,0.669,1.762,,,
Nagpur,2020 - 2021,"1,58,900.00","5,08,200.00",3.2,10.015,21.822,16.168,7.602,1.057,1.655,,,
Nagpur,2021 - 2022,"1,58,900.00","4,51,800.00",2.84,9.893,21.778,16.064,7.871,1.195,1.735,,,
Nagpur,2022 - 2023,"2,14,085.24","5,86,809.06",2.74,10.803,22.727,16.716,7.202,0.784,1.734,,,
Nanded,1999 - 2000,"2,74,300.00","1,76,900.00",0.64,0,0,0,0,0,0,,,
Nanded,2000 - 2001,"2,70,000.00","83,400.00",0.31,0,0,0,0,0,0,,,
Nanded,2001 - 2002,"2,45,700.00","1,65,100.00",0.67,0,0,0,0,0,0,,,
Nanded,2002 - 2003,"2,14,600.00","1,26,100.00",0.59,0,0,0,0,0,0,,,
Nanded,2003 - 2004,"2,15,500.00","2,02,900.00",0.94,0,0,0,0,0,0,,,
Nanded,2004 - 2005,"2,33,200.00","1,94,900.00",0.84,0,0,0,0,0,0,,,
Nanded,2005 - 2006,"2,27,800.00","1,29,200.00",0.57,0,0,0,0,0,0,,,
Nanded,2006 - 2007,"2,15,700.00","1,29,400.00",0.6,0,0,0,0,0,0,,,
Nanded,2007 - 2008,"2,07,800.00","2,73,000.00",1.31,0,0,0,0,0,0,,,
Nanded,2008 - 2009,"2,69,300.00","1,91,300.00",0.71,0,0,0,0,0,0,,,
Nanded,2009 - 2010,"2,57,400.00","1,97,200.00",0.77,0,0,0,0,0,0,,,
Nanded,2010 - 2011,"3,02,100.00","4,62,200.00",1.53,0,0,0,0,0,0,,,
Nanded,2011 - 2012,"3,26,600.00","5,20,900.00",1.59,0,0,0,0,0,0,,,
Nanded,2012 - 2013,"3,26,600.00","5,27,200.00",1.61,0,0,0,0,0,0,,,
Nanded,2013 - 2014,"3,21,100.00","3,60,900.00",1.12,0,0,0,0,0,0,,,
Nanded,2014 - 2015,"3,42,300.00","1,76,800.00",0.52,0,0,0,0,0,0,,,
Nanded,2015 - 2016,"3,52,700.00","2,40,600.00",0.68,0,0,0,0,0,0,,,
Nanded,2016 - 2017,"3,64,300.00","6,35,400.00",1.74,0,0,0,0,0,0,,,
Nanded,2017 - 2018,"2,99,543.00","3,11,700.00",1.04,0,0,0,0,0,0,,,
Nanded,2018 - 2019,"2,40,876.00","3,64,857.00",1.51,0,0,0,0,0,0,,,
Nanded,2019 - 2020,"2,44,704.00","2,58,461.00",1.06,0,0,0,0,0,0,,,
Nanded,2020 - 2021,"2,44,700.00","4,12,100.00",1.68,0,0,0,0,0,0,,,
Nanded,2021 - 2022,"2,34,600.00","3,07,300.00",1.31,0,0,0,0,0,0,,,
Nanded,2022 - 2023,"1,97,291.42","3,33,033.72",1.69,0,0,0,0,0,0,,,
Nandurbar,1999 - 2000,"31,600.00","31,800.00",1.01,0,0,0,0,0,0,,,
Nandurbar,2000 - 2001,"29,600.00","17,400.00",0.59,0,0,0,0,0,0,,,
Nandurbar,2001 - 2002,"33,100.00","23,100.00",0.7,0,0,0,0,0,0,,,
Nandurbar,2002 - 2003,"34,200.00","22,800.00",0.67,0,0,0,0,0,0,,,
Nandurbar,2003 - 2004,"36,200.00","40,900.00",1.13,0,0,0,0,0,0,,,
Nandurbar,2004 - 2005,"38,100.00","34,400.00",0.9,0,0,0,0,0,0,,,
Nandurbar,2005 - 2006,"34,900.00","50,400.00",1.44,0,0,0,0,0,0,,,
Nandurbar,2006 - 2007,"34,700.00","31,300.00",0.9,0,0,0,0,0,0,,,
Nandurbar,2007 - 2008,"46,100.00","1,07,600.00",2.33,0,0,0,0,0,0,,,
Nandurbar,2008 - 2009,"56,900.00","1,07,600.00",1.89,0,0,0,0,0,0,,,
Nandurbar,2009 - 2010,"54,500.00","1,07,500.00",1.97,0,0,0,0,0,0,,,
Nandurbar,2010 - 2011,"56,000.00","1,16,600.00",2.08,0,0,0,0,0,0,,,
Nandurbar,2011 - 2012,"57,200.00","81,300.00",1.42,0,0,0,0,0,0,,,
Nandurbar,2012 - 2013,"79,200.00","96,500.00",1.22,0,0,0,0,0,0,,,
Nandurbar,2013 - 2014,"1,02,200.00","1,49,800.00",1.47,0,0,0,0,0,0,,,
Nandurbar,2014 - 2015,"1,18,600.00","1,01,200.00",0.85,0,0,0,0,0,0,,,
Nandurbar,2015 - 2016,"1,16,600.00","1,10,600.00",0.95,0,0,0,0,0,0,,,
Nandurbar,2016 - 2017,"85,500.00","1,52,100.00",1.78,0,0,0,0,0,0,,,
Nandurbar,2017 - 2018,"96,600.00","1,92,200.00",1.99,0,0,0,0,0,0,,,
Nandurbar,2018 - 2019,"1,11,064.00","1,20,233.00",1.08,0,0,0,0,0,0,,,
Nandurbar,2019 - 2020,"1,18,092.00","1,86,752.00",1.58,0,0,0,0,0,0,,,
Nandurbar,2020 - 2021,"1,21,300.00","3,07,700.00",2.54,0,0,0,0,0,0,,,
Nandurbar,2021 - 2022,"1,25,900.00","1,72,600.00",1.37,0,0,0,0,0,0,,,
Nandurbar,2022 - 2023,"1,29,061.00","2,12,362.09",1.65,0,0,0,0,0,0,,,
Nashik,1999 - 2000,"5,600.00","9,300.00",1.66,9.946,22.129,15.592,6.32,1.067,2.193,,,
Nashik,2000 - 2001,"5,700.00","5,700.00",1,10.704,22.968,16.344,5.678,0.755,2.085,,,
Nashik,2001 - 2002,"6,200.00","3,900.00",0.63,10.281,22.645,16.018,6.58,1.353,2.123,,,
Nashik,2002 - 2003,"5,400.00","6,700.00",1.24,10.587,23.541,16.632,5.992,1.109,2.171,,,
Nashik,2003 - 2004,"7,200.00","4,700.00",0.65,10.089,22.774,16.033,6.572,1.143,2.198,,,
Nashik,2004 - 2005,"14,100.00","20,000.00",1.42,10.291,22.279,15.866,6.506,0.743,2.181,,,
Nashik,2005 - 2006,"17,400.00","34,600.00",1.99,9.533,22.108,15.604,6.019,1.23,2.023,,,
Nashik,2006 - 2007,"34,300.00","49,000.00",1.43,10.475,21.48,15.764,7.188,0.953,1.892,,,
Nashik,2007 - 2008,"39,300.00","76,100.00",1.94,10.305,22.199,15.857,6.428,0.963,2.024,,,
Nashik,2008 - 2009,"28,000.00","36,300.00",1.3,10.049,22.485,15.987,6.405,0.722,2.109,,,
Nashik,2009 - 2010,"46,400.00","69,200.00",1.49,10.116,22.498,16.089,6.481,1.009,2.121,,,
Nashik,2010 - 2011,"50,500.00","1,00,600.00",1.99,10.644,21.94,16.036,7.39,1.112,2.072,,,
Nashik,2011 - 2012,"47,000.00","96,500.00",2.05,10.327,22.292,16.042,6.706,0.64,2.057,,,
Nashik,2012 - 2013,"45,700.00","76,700.00",1.68,10.191,22.25,16.074,6.477,0.613,2.128,,,
Nashik,2013 - 2014,"46,000.00","1,00,800.00",2.19,10.054,21.784,15.459,7.188,1.756,2.125,,,
Nashik,2014 - 2015,"46,000.00","44,700.00",0.97,10.281,22.673,16.235,6.216,0.381,2.093,,,
Nashik,2015 - 2016,"43,300.00","26,900.00",0.62,10.31,22.892,16.303,6.759,1.277,2.028,,,
Nashik,2016 - 2017,"46,700.00","1,58,500.00",3.39,10.215,22.716,15.845,6.336,0.729,2.049,,,
Nashik,2017 - 2018,"65,400.00","1,44,100.00",2.2,10.285,22.229,15.929,6.49,0.906,2.01,,,
Nashik,2018 - 2019,"62,430.00","30,849.00",0.49,10.301,23.13,16.484,5.908,0.775,2.005,,,
Nashik,2019 - 2020,"64,192.00","75,784.00",1.18,10.424,21.874,15.964,7.108,0.829,2.025,,,
Nashik,2020 - 2021,"66,300.00","1,79,100.00",2.7,10.136,21.485,15.974,7.262,1.096,1.805,,,
Nashik,2021 - 2022,"62,200.00","1,25,300.00",2.01,10.234,21.137,15.558,7.577,1.301,1.909,,,
Nashik,2022 - 2023,"40,082.15","1,12,437.26",2.81,10.126,21.919,15.789,6.899,0.965,2.037,,,
Osmanabad,1999 - 2000,"3,000.00","2,000.00",0.67,10.269,22.922,16.321,7.608,0.546,2.534,,,
Osmanabad,2000 - 2001,"2,600.00","1,100.00",0.42,10.673,22.421,16.314,7.626,0.97,2.437,,,
Osmanabad,2001 - 2002,"2,500.00",900,0.36,10.597,21.891,16.121,7.972,0.882,2.567,,,
Osmanabad,2002 - 2003,"1,900.00","1,200.00",0.63,11.127,23.028,16.654,7.851,1.157,2.377,,,
Osmanabad,2003 - 2004,"1,800.00","1,100.00",0.61,10.851,23.104,16.914,7.375,0.726,2.495,,,
Osmanabad,2004 - 2005,"5,700.00","5,300.00",0.93,10.396,21.966,16.022,8.081,0.941,2.486,,,
Osmanabad,2005 - 2006,"4,500.00","5,600.00",1.24,10.467,21.482,15.625,8.548,1.495,2.055,,,
Osmanabad,2006 - 2007,"5,100.00","4,900.00",0.96,11.033,21.715,16.18,8.205,1.154,2.276,,,
Osmanabad,2007 - 2008,"3,800.00","5,600.00",1.47,10.726,22.066,16.122,8.001,1.808,2.28,,,
Osmanabad,2008 - 2009,"2,400.00","2,700.00",1.13,10.154,22.091,16.034,7.772,0.72,2.48,,,
Osmanabad,2009 - 2010,"4,200.00","5,700.00",1.36,10.901,22.179,16.472,8.149,1.078,2.359,,,
Osmanabad,2010 - 2011,"18,200.00","38,700.00",2.13,11,22.065,16.693,8.452,0.829,2.365,,,
Osmanabad,2011 - 2012,"20,500.00","37,600.00",1.83,11.22,22.638,16.748,7.698,0.672,2.521,,,
Osmanabad,2012 - 2013,"26,000.00","30,400.00",1.17,10.934,22.758,16.853,7.722,0.745,2.57,,,
Osmanabad,2013 - 2014,"29,300.00","57,300.00",1.96,10.809,21.535,16.125,8.02,0.712,2.607,,,
Osmanabad,2014 - 2015,"29,300.00","23,000.00",0.78,10.796,22.376,16.505,7.775,0.72,2.249,,,
Osmanabad,2015 - 2016,"15,400.00","6,800.00",0.44,11.078,23.071,16.929,8.111,0.812,2.419,,,
Osmanabad,2016 - 2017,"13,300.00","21,100.00",1.59,10.689,22.474,16.413,7.116,0.723,2.305,,,
Osmanabad,2017 - 2018,"13,448.00","8,000.00",0.59,11.006,22.368,16.561,7.741,1,2.191,,,
Osmanabad,2018 - 2019,"16,254.00","8,251.00",0.51,10.986,23.126,17.033,7.372,0.374,2.301,,,
Osmanabad,2019 - 2020,"25,198.00","13,039.00",0.52,12.015,22.693,17.237,8.254,0.758,2.293,,,
Osmanabad,2020 - 2021,"20,000.00","33,200.00",1.66,10.886,21.332,16.271,8.518,1.124,2.268,,,
Osmanabad,2021 - 2022,"12,900.00","17,900.00",1.39,11.016,21.146,16.128,8.674,1.229,2.273,,,
Osmanabad,2022 - 2023,"2,027.43","3,026.29",1.49,10.804,22.028,16.366,8.552,1.19,2.2,,,
Parbhani,1999 - 2000,"2,19,200.00","1,37,100.00",0.63,10.01,22.574,16.089,7.192,0.7,2.281,,,
Parbhani,2000 - 2001,"2,02,400.00","90,500.00",0.45,10.74,22.694,16.579,7.267,0.985,2.108,,,
Parbhani,2001 - 2002,"2,03,400.00","1,79,700.00",0.88,10.483,22.326,16.158,7.751,1.191,2.289,,,
Parbhani,2002 - 2003,"1,93,500.00","1,94,900.00",1.01,10.982,23.219,16.942,7.41,1.159,2.147,,,
Parbhani,2003 - 2004,"1,84,700.00","2,26,800.00",1.23,10.679,22.856,16.644,7.274,0.88,2.221,,,
Parbhani,2004 - 2005,"1,98,000.00","1,72,700.00",0.87,10.458,22.579,16.353,7.793,0.858,2.251,,,
Parbhani,2005 - 2006,"1,85,000.00","2,21,600.00",1.2,10.284,21.622,15.891,7.864,1.516,2.014,,,
Parbhani,2006 - 2007,"1,94,700.00","2,98,800.00",1.53,10.892,21.591,16.048,8.322,1.293,1.878,,,
Parbhani,2007 - 2008,"1,98,100.00","5,44,500.00",2.75,10.773,22.061,16.198,7.64,1.139,2.053,,,
Parbhani,2008 - 2009,"2,04,400.00","3,61,000.00",1.77,10.126,22.244,16.143,7.574,0.773,2.119,,,
Parbhani,2009 - 2010,"2,17,700.00","3,43,800.00",1.58,10.52,22.513,16.572,7.729,1.053,2.07,,,
Parbhani,2010 - 2011,"2,32,400.00","4,04,800.00",1.74,10.801,22.033,16.649,8.371,1.237,2.127,,,
Parbhani,2011 - 2012,"2,40,500.00","4,13,400.00",1.72,10.877,22.313,16.542,7.394,0.57,2.203,,,
Parbhani,2012 - 2013,"2,73,600.00","5,48,000.00",2,10.651,22.616,16.802,7.42,0.878,2.175,,,
Parbhani,2013 - 2014,"2,65,900.00","5,59,000.00",2.1,10.663,21.27,15.98,8.143,1.368,2.247,,,
Parbhani,2014 - 2015,"2,73,500.00","2,04,800.00",0.75,10.549,23.064,16.867,7.291,0.713,2.052,,,
Parbhani,2015 - 2016,"2,72,200.00","1,07,700.00",0.4,11.098,23.633,17.262,7.632,0.902,2.177,,,
Parbhani,2016 - 2017,"1,67,630.00","7,68,376.00",4.58,10.506,22.55,16.361,7.347,0.816,2.133,,,
Parbhani,2017 - 2018,"1,85,129.00","3,67,600.00",1.99,10.966,23.069,16.872,7.423,0.844,2.015,,,
Parbhani,2018 - 2019,"1,99,869.00","3,27,347.00",1.64,10.846,23.225,17.073,7.387,0.638,2.063,,,
Parbhani,2019 - 2020,"2,14,404.00","2,97,153.00",1.39,11.33,22.435,17.039,8.089,0.92,1.991,,,
Parbhani,2020 - 2021,"2,14,400.00","3,90,700.00",1.82,10.848,21.637,16.308,8.374,1.368,1.986,,,
Parbhani,2021 - 2022,"2,19,000.00","3,96,400.00",1.81,10.467,21.113,15.887,8.658,1.199,2.003,,,
Parbhani,2022 - 2023,"1,82,292.98","5,33,158.21",2.92,10.395,22.098,16.367,8.328,1.064,1.968,,,
Pune,1999 - 2000,400,"1,400.00",3.5,9.371,21.376,14.847,6.191,0.859,2.426,,,
Pune,2000 - 2001,700,"1,600.00",2.29,9.948,21.6,15.253,6.062,0.753,2.229,,,
Pune,2001 - 2002,200,400,2,9.626,21.309,15.084,6.655,0.719,2.426,,,
Pune,2002 - 2003,200,500,2.5,10.102,22.568,15.77,6.106,0.745,2.281,,,
Pune,2003 - 2004,100,300,3,9.543,22.299,15.703,6.136,0.523,2.407,,,
Pune,2004 - 2005,100,200,2,9.588,20.943,14.854,6.831,0.684,2.342,,,
Pune,2005 - 2006,100,300,3,9.191,20.985,14.656,6.638,0.815,2.23,,,
Pune,2006 - 2007,100,200,2,10.015,20.428,15.001,7.219,1.131,2.065,,,
Pune,2007 - 2008,100,200,2,9.786,21.334,15.234,6.526,0.615,2.196,,,
Pune,2008 - 2009,100,300,3,9.309,21.247,15.054,6.66,0.348,2.348,,,
Pune,2019 - 2020,14,478,34.14,10.226,21.483,15.598,7.199,0.933,2.204,,,
Pune,2020 - 2021,41,97,2.37,9.71,20.36,15.35,7.518,1.695,1.971,,,
Pune,2021 - 2022,30,149,4.97,10.084,20.173,15.017,7.932,1.097,2.059,,,
Pune,2022 - 2023,423.1,"1,017.00",2.4,9.658,20.952,15.129,7.158,1.096,2.13,,,
