District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Amravati,2014 - 2015,400,"16,100.00",40.25,15.799,35.467,25.14,12.073,2.449,3.576
Amravati,2015 - 2016,300,"15,900.00",53,15.359,35.063,25.092,12.152,3.014,3.357
Amravati,2016 - 2017,430,"11,800.00",27.44,15.86,34.646,24.922,11.76,3.193,3.358
Amravati,2017 - 2018,121,"4,800.00",39.67,15.881,35.099,25.115,11.627,2.22,3.3
Amravati,2018 - 2019,254,"14,478.00",57,16.001,35.231,25.075,11.237,2.718,3.34
Amravati,2019 - 2020,175,"6,043.00",34.53,15.272,34.121,24.707,12.462,2.778,3.578
Amravati,2022 - 2023,354,"14,071.50",39.75,15.194,33.662,24.132,13.089,4.41,3.241
Aurangabad,1999 - 2000,"19,600.00","14,53,000.00",74.13,17.406,35.161,25.585,13.184,1.518,4.267
Aurangabad,2000 - 2001,"18,400.00","12,80,900.00",69.61,17.702,34.503,25.687,13.548,2.682,3.973
Aurangabad,2001 - 2002,"10,300.00","5,21,500.00",50.63,17.93,35.018,25.907,13.68,2.45,4.153
Aurangabad,2002 - 2003,"11,800.00","7,35,000.00",62.29,18.082,35.893,26.3,13.593,2.287,4.105
Aurangabad,2003 - 2004,"8,400.00","3,77,300.00",44.92,18.129,35.106,26.122,13.942,2.137,4.191
Aurangabad,2004 - 2005,"6,400.00","5,09,500.00",79.61,17.695,34.503,25.686,13.639,2.134,4.105
Aurangabad,2005 - 2006,"10,600.00","6,46,600.00",61,17.748,34.177,25.476,14.26,3.186,4.208
Aurangabad,2006 - 2007,"17,600.00","16,85,400.00",95.76,17.919,33.845,25.419,14.208,2.959,4.042
Aurangabad,2007 - 2008,"34,300.00","27,11,500.00",79.05,17.75,34.137,25.338,14.094,2.885,3.999
Aurangabad,2008 - 2009,"17,500.00","13,15,700.00",75.18,17.352,34.206,25.596,14.113,2.966,3.969
Aurangabad,2009 - 2010,"13,600.00","11,54,500.00",84.89,18.341,35.5,26.386,14.01,2.429,4.145
Aurangabad,2010 - 2011,"23,300.00","19,59,500.00",84.1,18.306,33.942,25.844,15.009,3.488,3.904
Aurangabad,2011 - 2012,"20,100.00","17,05,200.00",84.84,17.802,34.712,25.712,13.671,1.893,4.218
Aurangabad,2012 - 2013,"14,800.00","6,30,900.00",42.63,17.248,35.114,25.912,13.429,2.351,4.188
Aurangabad,2013 - 2014,"14,600.00","11,70,600.00",80.18,17.433,33.358,25.275,14.277,2.848,4.215
Aurangabad,2014 - 2015,"13,900.00","9,32,200.00",67.06,17.732,35.259,25.976,13.788,2.234,4.18
Aurangabad,2015 - 2016,"15,300.00","6,70,700.00",43.84,18,35.476,26.32,13.742,2.007,3.985
Aurangabad,2016 - 2017,"14,644.00","8,73,100.00",59.62,17.8,34.966,25.768,13.609,2.295,4.094
Aurangabad,2017 - 2018,"21,325.00","11,72,900.00",55,17.81,34.72,25.794,13.866,2.381,3.821
Aurangabad,2018 - 2019,"26,337.00","13,27,730.00",50.41,17.919,35.534,26.264,12.956,1.443,4.129
Aurangabad,2019 - 2020,"13,304.00","7,41,275.00",55.72,18.09,34.617,25.954,14.504,2.655,4.171
Aurangabad,2020 - 2021,"18,603.40","14,42,196.88",77.52,17.891,33.336,25.427,15.294,3.696,3.921
Aurangabad,2021 - 2022,"40,030.00","22,87,961.28",57.16,18.082,33.664,25.641,14.962,3.21,3.834
Aurangabad,2022 - 2023,"40,000.00","32,09,600.00",80.24,17.261,33.723,25.328,14.743,3.027,3.819
 Beed,1999 - 2000,"32,000.00","22,30,000.00",69.69,16.909,35.486,25.416,12.051,1.427,4.523
 Beed,2000 - 2001,"34,000.00","25,51,900.00",75.06,17.06,34.186,25.219,12.261,1.782,4.235
 Beed,2001 - 2002,"34,700.00","23,06,000.00",66.46,17.335,34.981,25.529,12.274,1.65,4.416
 Beed,2002 - 2003,"34,000.00","22,15,000.00",65.15,17.724,35.893,25.868,12.265,1.265,4.514
 Beed,2003 - 2004,"21,600.00","8,49,000.00",39.31,17.72,35.389,25.91,12.522,1.249,4.48
 Beed,2004 - 2005,"13,100.00","8,75,500.00",66.83,17.078,34.639,25.385,12.123,1.175,4.509
 Beed,2005 - 2006,"23,400.00","16,13,000.00",68.93,17.161,33.911,24.992,13.224,2.397,4.05
 Beed,2006 - 2007,"46,700.00","31,21,400.00",66.84,17.319,33.788,24.923,12.978,1.737,4.493
 Beed,2007 - 2008,"74,000.00","64,97,900.00",87.81,17.202,34.061,24.916,12.959,2.611,4.148
 Beed,2008 - 2009,"44,400.00","40,65,400.00",91.56,16.799,34.035,25.13,13.016,2.117,4.156
 Beed,2009 - 2010,"43,200.00","31,95,300.00",73.97,17.779,35.415,25.885,12.955,1.898,4.463
 Beed,2010 - 2011,"58,800.00","38,74,900.00",65.9,17.453,34.018,25.439,13.577,2.101,4.15
 Beed,2011 - 2012,"53,600.00","34,87,500.00",65.07,17.477,34.966,25.607,12.178,0.966,4.822
 Beed,2012 - 2013,"51,400.00","28,17,000.00",54.81,16.91,35.569,25.785,11.909,1.169,4.657
 Beed,2013 - 2014,"46,000.00","25,67,300.00",55.81,16.995,33.223,24.958,12.7,1.455,4.674
 Beed,2014 - 2015,"37,600.00","17,23,500.00",45.84,17.354,35.14,25.592,12.798,1.63,4.5
 Beed,2015 - 2016,"36,100.00","7,97,600.00",22.09,17.757,36.141,26.311,12.567,1.264,4.461
 Beed,2016 - 2017,"12,292.00","4,95,900.00",40.34,17.491,35.489,25.599,12.022,1.442,4.219
 Beed,2017 - 2018,"36,050.00","20,72,850.00",57.5,17.15,34.956,25.463,12.543,1.916,3.934
 Beed,2018 - 2019,"49,690.00","17,65,090.00",35.52,17.429,35.951,26.162,11.481,0.785,4.485
 Beed,2019 - 2020,"22,717.00","12,41,011.00",54.63,17.852,35.085,25.937,13.279,1.759,4.388
 Beed,2020 - 2021,"63,374.00","47,85,297.55",75.51,17.546,33.171,25.066,14.091,2.695,4.055
 Beed,2021 - 2022,"49,581.00","29,19,221.71",58.88,17.326,33.694,25.143,13.71,1.954,4.207
 Beed,2022 - 2023,"84,208.00","67,36,640.00",80,16.711,34.07,25.05,13.667,2.214,3.965
Bhandara,1999 - 2000,"1,100.00","96,300.00",87.55,15.528,34.513,24.533,0,0,0
Bhandara,2000 - 2001,"1,500.00","1,08,800.00",72.53,15.617,35.123,24.987,0,0,0
Bhandara,2001 - 2002,"1,400.00","51,800.00",37,15.756,34.553,24.912,0,0,0
Bhandara,2002 - 2003,"1,400.00","67,000.00",47.86,16.166,35.106,25.417,0,0,0
Bhandara,2003 - 2004,"1,500.00","71,000.00",47.33,16.075,34.492,24.975,0,0,0
