District,Year ,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Aurangabad,2019 - 2020,5,1,0.2,19.206,33.946,26.044,15.988,2.944,4.13
Aurangabad,2020 - 2021,0.25,0.76,3.04,17.704,32.242,25.044,16.214,4.692,3.824
Beed,1999 - 2000,"3,800.00","1,700.00",0.45,16.776,34.834,25.122,13.468,1.334,4.82
Beed,2000 - 2001,"3,400.00","2,000.00",0.59,17.394,33.158,24.808,13.484,1.962,4.624
Beed,2001 - 2002,"2,400.00","1,500.00",0.63,17.236,33.716,24.896,14.02,1.726,5
Beed,2002 - 2003,"2,400.00",600,0.25,17.954,35.534,25.69,13.478,1.574,4.608
Beed,2003 - 2004,"2,500.00","1,000.00",0.4,17.512,34.974,25.44,13.614,1.524,4.65
Beed,2004 - 2005,"2,300.00",600,0.26,17.224,33.508,24.922,13.268,1.172,4.682
Beed,2005 - 2006,"2,200.00",900,0.41,16.9,32.588,24.016,14.758,3.156,4.194
Beed,2006 - 2007,"2,000.00","1,500.00",0.75,18.02,32.448,24.718,14.602,2.066,4.764
Beed,2007 - 2008,"1,500.00",700,0.47,17.152,33.258,24.344,14.312,2.86,4.244
Beed,2008 - 2009,"1,000.00",400,0.4,17.214,33.866,25.154,13.824,1.764,4.514
Beed,2009 - 2010,600,200,0.33,17.06,33.762,25.22,14.638,1.538,4.978
Beed,2010 - 2011,800,300,0.38,17.742,33.016,24.772,14.96,2.472,4.392
Beed,2011 - 2012,600,300,0.5,18.108,34.93,25.85,13.336,1.208,5.202
Beed,2012 - 2013,600,300,0.5,17.138,35.022,25.516,13.314,1.374,5.01
Beed,2013 - 2014,500,300,0.6,17.028,31.718,24.032,13.806,1.286,5.166
Beed,2014 - 2015,400,100,0.25,17.758,35.674,25.886,13.662,1.504,4.75
Beed,2015 - 2016,300,0,0,18.704,36.256,26.834,13.83,0.978,4.958
Beed,2016 - 2017,100,70,0.7,17.024,34.166,24.64,12.522,1.596,4.292
Beed,2017 - 2018,65,30,0.46,17.43,34.06,24.99,14.144,2.046,4.364
Beed,2018 - 2019,29,9,0.31,17.388,35.66,26.2,12.766,0.776,4.858
Beed,2019 - 2020,16,2,0.13,18.99,34.022,25.802,15.338,1.59,4.536
Beed,2020 - 2021,17.25,52.56,3.05,17.172,31.796,24.434,15.51,3.056,4.03
Bhandara,1999 - 2000,"1,41,000.00","2,18,200.00",1.55,15.286,33.73,23.964,0,0,0
Bhandara,2000 - 2001,"1,38,800.00","1,39,700.00",1.01,16.22,35.312,25.254,0,0,0
Bhandara,2001 - 2002,"1,42,400.00","1,95,500.00",1.37,15.36,33.5,23.96,0,0,0
Bhandara,2002 - 2003,"1,68,600.00","1,90,500.00",1.13,16.882,35.392,25.658,0,0,0
Bhandara,2003 - 2004,"1,70,000.00","2,64,200.00",1.55,16.6,34.042,24.568,0,0,0
Bhandara,2004 - 2005,"1,64,100.00","1,19,700.00",0.73,16.344,35.066,24.814,0,0,0
Bhandara,2005 - 2006,"1,68,400.00","2,83,700.00",1.68,15.216,33.612,24.344,0,0,0
Bhandara,2006 - 2007,"1,75,800.00","2,55,000.00",1.45,17.458,33.866,25.236,0,0,0
