District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,
Nashik,2017 - 2018,800,"1,100.00",1.38,18.976,33.662,25.354,15.774,5.184,3.344,,
Nashik,2018 - 2019,647,813,1.26,18.922,35.756,26.21,14.366,4.22,3.646,,
Nashik,2019 - 2020,707,369,0.52,19.976,33.134,25.488,16.566,6.766,3.71,,
Nashik,2020 - 2021,854.2,"1,306.67",1.53,18.43,32.536,25.3,16.844,5.16,2.834,,
Nashik,2021 - 2022,724.39,"1,060.87",1.46,18.892,32.718,25.206,16.858,6.044,3.546,,
Nashik,2022 - 2023,695.24,963.6,1.39,18.214,32.462,24.602,15.956,7.588,3.484,,
Osmanabad,1999 - 2000,"87,600.00","81,800.00",0.93,18.196,35.516,26.032,14.784,2.054,4.904,,
Osmanabad,2000 - 2001,"89,600.00","1,13,400.00",1.27,18.162,33.472,25.376,15.318,2.552,4.426,,
Osmanabad,2001 - 2002,"82,400.00","51,300.00",0.62,18.304,34.048,25.636,15.356,3.314,4.76,,
Osmanabad,2002 - 2003,"85,900.00","76,100.00",0.89,18.842,36.466,26.384,14.954,2.264,4.56,,
Osmanabad,2003 - 2004,"77,200.00","39,100.00",0.51,18.66,36.186,26.436,15,2.24,4.634,,
Osmanabad,2004 - 2005,"77,800.00","57,800.00",0.74,18.254,34.076,25.67,15.106,2.124,4.552,,
Osmanabad,2005 - 2006,"73,200.00","65,400.00",0.89,18.52,32.776,24.696,16.214,4.166,4.242,,
Osmanabad,2006 - 2007,"72,900.00","53,400.00",0.73,19.442,33.596,25.494,15.944,3.122,4.574,,
Osmanabad,2007 - 2008,"67,800.00","50,200.00",0.74,17.996,33.1,24.758,15.762,4.756,4.148,,
Osmanabad,2008 - 2009,"52,100.00","26,600.00",0.51,17.976,34.154,25.624,15.152,2.662,4.454,,
Osmanabad,2009 - 2010,"83,000.00","44,300.00",0.53,18.494,34.24,25.764,15.814,2.928,4.844,,
Osmanabad,2010 - 2011,"51,400.00","41,200.00",0.8,19.008,33.584,25.792,16.336,3.484,4.386,,
Osmanabad,2011 - 2012,"55,100.00","57,900.00",1.05,19.434,35.484,26.476,14.644,1.472,5.196,,
Osmanabad,2012 - 2013,"51,000.00","23,200.00",0.45,18.422,35.288,26.228,14.508,2.388,4.958,,
Osmanabad,2013 - 2014,"45,300.00","45,600.00",1.01,18.198,32.818,25.068,15.702,2.788,4.974,,
Osmanabad,2014 - 2015,"45,300.00","12,000.00",0.26,18.492,35.228,26.242,15.084,2.226,4.734,,
Osmanabad,2015 - 2016,"14,000.00","2,800.00",0.2,19.568,36.718,27.314,15.2,2.168,4.746,,
Osmanabad,2016 - 2017,"14,100.00","6,300.00",0.45,18.036,34.25,24.93,14.356,2.458,4.466,,
Osmanabad,2017 - 2018,"12,936.00","9,000.00",0.7,18.83,34.344,25.736,15.846,3.31,4.146,,
Osmanabad,2018 - 2019,"12,784.00","4,132.00",0.32,18.944,36.238,26.934,13.99,1.394,4.936,,
Osmanabad,2019 - 2020,"12,183.00","7,019.00",0.58,20.284,34.992,26.556,16.22,2.756,4.576,,
Osmanabad,2020 - 2021,"13,127.96","13,955.35",1.06,18.766,32.218,25.182,16.742,5.31,3.982,,
Osmanabad,2021 - 2022,"11,153.82","3,446.53",0.31,18.752,33.14,25.612,16.342,3.012,4.498,,
Osmanabad,2022 - 2023,"1,903.01",283.74,0.15,18.14,33.454,25.212,15.964,3.338,4.094,,
Parbhani,1999 - 2000,"1,01,400.00","1,37,400.00",1.36,17.824,34.27,25.186,14.994,2.368,4.326,,
Parbhani,2000 - 2001,"1,04,500.00","1,30,600.00",1.25,18.524,33.696,25.684,15.456,2.848,3.686,,
Parbhani,2001 - 2002,"1,04,800.00","1,35,400.00",1.29,17.994,34.222,25.338,15.69,3.224,4.016,,
Parbhani,2002 - 2003,"1,00,300.00","1,44,400.00",1.44,18.5,35.61,26.09,14.944,2.726,3.922,,
Parbhani,2003 - 2004,"1,01,700.00","1,27,800.00",1.26,18.604,34.456,25.64,15.672,3.766,3.99,,
Parbhani,2004 - 2005,"94,600.00","72,900.00",0.77,18.312,34.64,25.816,15.34,3.168,3.854,,
Parbhani,2005 - 2006,"92,100.00","1,00,800.00",1.09,18.01,33.212,24.954,15.994,5.84,4.06,,
Parbhani,2006 - 2007,"88,400.00","77,800.00",0.88,18.998,32.948,25.218,16.17,4.362,3.84,,
Parbhani,2007 - 2008,"74,000.00","1,06,000.00",1.43,17.774,33.082,24.834,15.796,4.182,3.764,,
Parbhani,2008 - 2009,"62,800.00","74,700.00",1.19,17.636,34.18,25.31,15.464,3.398,3.756,,
Parbhani,2009 - 2010,"62,200.00","52,700.00",0.85,18.192,34.514,25.952,15.8,3.09,4.236,,
Parbhani,2010 - 2011,"62,300.00","77,800.00",1.25,19.022,32.832,25.63,17.092,5.036,3.788,,
Parbhani,2011 - 2012,"60,000.00","79,000.00",1.32,18.972,34.016,25.606,15.308,2.674,4.182,,
Parbhani,2012 - 2013,"80,500.00","91,700.00",1.14,18.03,34.296,25.608,15.312,3.598,4.062,,
Parbhani,2013 - 2014,"79,300.00","87,100.00",1.1,18.02,31.534,24.512,16.458,5.26,4.148,,
Parbhani,2014 - 2015,"72,400.00","30,500.00",0.42,18.73,36.18,26.676,14.75,2.548,4.27,,
Parbhani,2015 - 2016,"41,000.00","9,000.00",0.22,19.906,36.726,27.602,15.058,2.296,4.014,,
Parbhani,2016 - 2017,"12,960.00","8,956.00",0.69,18.088,33.916,24.968,15.176,3.67,3.97,,
Parbhani,2017 - 2018,"12,175.00","5,278.00",0.43,18.986,35.204,26.286,16.028,3.324,3.77,,
Parbhani,2018 - 2019,"4,688.00","4,256.00",0.91,18.85,35.73,26.566,14.498,1.906,4.034,,
Parbhani,2019 - 2020,"4,992.00","3,236.00",0.65,19.818,34.21,26.388,16.478,4.024,3.878,,
Parbhani,2020 - 2021,"5,089.50","2,315.86",0.46,18.726,32.792,25.358,17.122,5.35,3.42,,
Parbhani,2021 - 2022,"6,446.40","2,555.35",0.4,18.226,32.274,25.088,17.188,5.41,3.734,,
Parbhani,2022 - 2023,"3,813.35","2,723.50",0.71,17.774,33.638,24.86,16.242,5.426,3.676,,
Pune,1999 - 2000,"3,200.00","2,800.00",0.88,16.964,32.06,23.702,14.074,2.758,4.69,,
Pune,2000 - 2001,"3,000.00","2,400.00",0.8,17.676,32.304,24.276,13.832,1.878,4.064,,
Pune,2001 - 2002,"3,200.00","2,200.00",0.69,17.36,32.184,23.94,14.412,2.704,4.556,,
Pune,2002 - 2003,"3,000.00","1,600.00",0.53,17.856,34.37,24.774,13.464,2.128,4.39,,
Pune,2003 - 2004,"2,900.00","4,600.00",1.59,17.824,33.706,24.752,14.024,1.932,4.562,,
Pune,2004 - 2005,"3,200.00","3,400.00",1.06,17.46,31.458,23.77,14.678,3.196,4.11,,
Pune,2005 - 2006,"3,200.00","3,300.00",1.03,17.404,31.676,23.476,14.878,4.572,4.494,,
Pune,2006 - 2007,"3,000.00","1,900.00",0.63,18.328,30.55,23.86,15.62,4.128,4.038,,
Pune,2007 - 2008,"3,000.00","2,400.00",0.8,17.096,31.636,23.86,14.718,3.238,4.14,,
Pune,2008 - 2009,"2,800.00","3,200.00",1.14,17.22,32.138,23.786,14.472,2.768,4.344,,
Pune,2009 - 2010,"9,900.00","10,400.00",1.05,17.482,31.778,24.196,14.926,3.522,4.602,,
Pune,2010 - 2011,"8,700.00","8,300.00",0.95,18.206,31.238,24.376,16.302,3.98,4.036,,
Pune,2011 - 2012,"5,500.00","5,500.00",1,17.686,31.262,23.86,14.734,2.844,4.578,,
Pune,2012 - 2013,"4,000.00","3,400.00",0.85,17.034,32.642,24.406,14.354,2.41,4.42,,
Pune,2013 - 2014,"3,200.00","2,700.00",0.84,17.83,31.436,23.766,15.44,4.016,4.606,,
Pune,2014 - 2015,"3,500.00","1,700.00",0.49,17.798,33.932,24.68,14.088,2.26,4.602,,
Pune,2015 - 2016,"1,400.00","1,000.00",0.71,18.584,33.776,24.996,14.318,2.734,4.286,,
Pune,2016 - 2017,"1,800.00",400,0.22,17.038,31.854,23.334,14.082,3.666,4.244,,
Pune,2017 - 2018,"1,700.00","1,600.00",0.94,17.868,31.924,24.02,15.06,3.33,4.01,,
Pune,2018 - 2019,"1,648.00","1,158.00",0.7,17.598,32.928,24.644,13.194,1.412,4.378,,
Pune,2019 - 2020,"1,571.00","1,275.00",0.81,18.8,32.47,24.504,15.738,3.552,4.32,,
Pune,2020 - 2021,"1,537.32",949.14,0.62,17.768,30.704,24.12,16.408,5.862,3.422,,
Pune,2021 - 2022,"1,472.53","1,662.59",1.13,18.27,30.854,24.118,16.14,3.996,4.19,,
Pune,2022 - 2023,164.3,50.47,0.31,17.092,31.448,23.562,15.218,4.52,4.034,,
Sangli,1999 - 2000,"1,26,600.00","1,59,500.00",1.26,17.126,33.41,24.418,14.618,2.85,5.206,,
Sangli,2000 - 2001,"1,31,900.00","1,69,100.00",1.28,17.958,32.994,24.584,14.646,2.962,4.676,,
Sangli,2001 - 2002,"1,12,300.00","52,700.00",0.47,17.512,33.286,24.542,14.66,2.28,5.346,,
Sangli,2002 - 2003,"1,07,300.00","59,600.00",0.56,18.374,34.946,25.362,14.354,1.788,5.028,,
Sangli,2003 - 2004,"50,800.00","15,500.00",0.31,18.028,35.502,25.528,14.53,1.724,5.132,,
Sangli,2004 - 2005,"1,12,800.00","2,05,000.00",1.82,17.67,32.77,24.518,14.57,2.276,4.99,,
Sangli,2005 - 2006,"1,11,100.00","96,600.00",0.87,17.602,32.212,23.872,15.476,4.364,4.926,,
Sangli,2006 - 2007,"1,13,900.00","86,300.00",0.76,18.794,31.874,24.382,15.768,3.692,5.06,,
Sangli,2007 - 2008,"1,04,000.00","86,400.00",0.83,17.24,32.468,24.15,15.3,4.274,4.838,,
Sangli,2008 - 2009,"40,400.00","26,200.00",0.65,17.484,33.37,24.55,14.654,2.378,5.126,,
Sangli,2009 - 2010,"90,700.00","77,200.00",0.85,17.61,32.56,24.558,15.536,3.912,5.228,,
Sangli,2010 - 2011,"87,200.00","1,08,700.00",1.25,18.414,32.588,24.836,16.118,3.832,4.772,,
Sangli,2011 - 2012,"60,400.00","45,300.00",0.75,17.952,32.768,24.692,14.802,2.316,5.578,,
Sangli,2012 - 2013,"55,800.00","26,600.00",0.48,17.506,34.272,25.092,14.452,2.146,5.222,,
Sangli,2013 - 2014,"61,800.00","53,300.00",0.86,17.988,32.284,24.326,15.288,3.016,5.42,,
Sangli,2014 - 2015,"52,100.00","55,600.00",1.07,17.714,34.806,25.158,14.884,2.58,5.146,,
Sangli,2015 - 2016,"68,600.00","32,200.00",0.47,18.972,34.784,25.808,14.888,1.786,4.984,,
Sangli,2016 - 2017,"66,000.00","66,200.00",1,17.252,33.32,23.904,14.076,3.132,4.816,,
Sangli,2017 - 2018,"53,800.00","44,900.00",0.83,17.98,33.02,24.562,15.454,3.484,4.55,,
Sangli,2018 - 2019,"42,688.00","34,078.00",0.8,17.39,33.552,25.012,14.398,2.804,4.78,,
Sangli,2019 - 2020,"45,618.00","39,364.00",0.86,19.156,33.062,24.85,16.32,4.62,4.73,,
Sangli,2020 - 2021,"49,805.76","68,291.96",1.37,18.092,31.516,24.314,16.346,4.96,4.412,,
Sangli,2021 - 2022,"39,563.00","46,628.95",1.18,18.002,31.668,24.54,16.39,4.536,4.724,,
Sangli,2022 - 2023,"20,010.69","12,872.88",0.64,17.172,31.998,24.024,15.626,3.9,4.39,,
Satara,1999 - 2000,"69,800.00","1,29,800.00",1.86,17.16,30.768,23.356,16.086,7.61,4.902,,
Satara,2000 - 2001,"66,700.00","1,17,100.00",1.76,17.748,31.29,23.768,16.186,5.996,4.346,,
Satara,2001 - 2002,"64,800.00","99,000.00",1.53,17.684,31.062,23.596,16.216,5.278,4.976,,
Satara,2002 - 2003,"67,100.00","1,08,400.00",1.62,18.106,33.014,24.198,16,5.544,4.526,,
Satara,2003 - 2004,"58,300.00","83,200.00",1.43,17.914,33.094,24.428,16.262,5.804,4.626,,
Satara,2004 - 2005,"63,900.00","1,10,300.00",1.73,17.862,30.798,23.558,16.222,6.478,4.684,,
Satara,2005 - 2006,"60,500.00","50,300.00",0.83,17.812,31.1,23.41,16.53,9.5,4.962,,
Satara,2006 - 2007,"59,300.00","37,600.00",0.63,18.722,29.804,23.656,17.1,8.974,4.732,,
Satara,2007 - 2008,"50,300.00","84,400.00",1.68,17.526,31.106,23.686,16.584,9.354,4.778,,
Satara,2008 - 2009,"45,500.00","83,200.00",1.83,17.67,31.342,23.61,16.304,6.316,4.912,,
Satara,2009 - 2010,"46,800.00","70,600.00",1.51,17.724,30.778,23.892,16.85,9.288,4.896,,
Satara,2010 - 2011,"44,600.00","76,100.00",1.71,18.672,30.842,24.206,17.686,10.388,4.406,,
Satara,2011 - 2012,"36,300.00","65,100.00",1.79,17.796,30.576,23.62,16.606,8.964,5.098,,
Satara,2012 - 2013,"32,500.00","56,400.00",1.74,17.266,31.588,23.956,16.292,7.156,4.714,,
Satara,2013 - 2014,"29,700.00","52,800.00",1.78,18.176,30.656,23.586,16.868,9.194,5.022,,
Satara,2014 - 2015,"23,400.00","35,900.00",1.53,18.002,33.43,24.352,16.382,6.514,4.796,,
Satara,2015 - 2016,"24,800.00","30,500.00",1.23,18.75,33.14,24.728,16.51,4.876,4.5,,
Satara,2016 - 2017,"24,400.00","25,300.00",1.04,17.102,31.112,23.018,15.854,9.48,4.606,,
Satara,2017 - 2018,"24,100.00","33,100.00",1.37,18.098,31.066,23.772,16.878,8.748,4.416,,
Satara,2018 - 2019,"24,312.00","27,154.00",1.12,17.56,31.696,24.072,16.242,7.582,4.4,,
Satara,2019 - 2020,"26,269.00","18,280.00",0.7,19.228,31.69,24.304,17.6,11.202,4.516,,
Satara,2020 - 2021,"19,760.00","32,207.91",1.63,18.318,30.02,23.938,17.66,9.518,4.034,,
Satara,2021 - 2022,"16,553.00","22,248.89",1.34,18.486,29.92,23.93,17.668,11.136,4.416,,
Satara,2022 - 2023,"12,638.80","18,153.11",1.44,17.29,30.632,23.46,16.714,8.376,4.35,,
Solapur,1999 - 2000,"2,100.00","1,300.00",0.62,17.75,35.332,25.654,0,0,0,,
Solapur,2000 - 2001,"2,100.00","1,600.00",0.76,18.166,34.028,25.404,0,0,0,,
Solapur,2001 - 2002,700,500,0.71,17.918,34.312,25.428,0,0,0,,
Solapur,2002 - 2003,"1,100.00",600,0.55,18.698,36.086,26.256,0,0,0,,
Solapur,2003 - 2004,400,100,0.25,18.454,36.582,26.524,0,0,0,,
Solapur,2004 - 2005,400,300,0.75,17.952,33.784,25.366,0,0,0,,
Solapur,2005 - 2006,400,300,0.75,18.17,33.14,24.646,0,0,0,,
Solapur,2006 - 2007,400,200,0.5,19.3,33.596,25.356,0,0,0,,
Solapur,2007 - 2008,200,200,1,17.724,33.58,24.862,0,0,0,,
Solapur,2008 - 2009,200,200,1,17.866,34.52,25.442,0,0,0,,
Solapur,2009 - 2010,100,44,0.44,18.172,34.168,25.55,0,0,0,,
Solapur,2010 - 2011,400,200,0.5,18.768,33.736,25.718,0,0,0,,
Solapur,2011 - 2012,400,300,0.75,18.884,35.04,26.022,0,0,0,,
Solapur,2012 - 2013,400,100,0.25,18.146,35.494,26.144,0,0,0,,
Solapur,2013 - 2014,500,200,0.4,18.146,33.298,25.11,0,0,0,,
Solapur,2014 - 2015,300,100,0.33,18.108,35.642,26.148,0,0,0,,
Solapur,2015 - 2016,200,,0,19.326,36.092,26.904,0,0,0,,
Solapur,2016 - 2017,200,80,0.4,17.726,34.538,24.796,0,0,0,,
Solapur,2018 - 2019,"3,688.00","1,819.00",0.49,18.18,35.606,26.332,0,0,0,,
Solapur,2019 - 2020,"3,648.00",929,0.25,19.978,34.922,26.064,0,0,0,,
Solapur,2020 - 2021,"3,112.67","1,921.76",0.62,18.556,32.626,25.108,0,0,0,,
Solapur,2021 - 2022,"1,199.19","1,353.97",1.13,18.398,33.19,25.382,0,0,0,,
Solapur,2022 - 2023,313.64,156.14,0.5,17.738,33.236,24.962,0,0,0,,
Wardha,1999 - 2000,"48,500.00","38,500.00",0.79,17.828,33.85,25.292,15.884,3.744,3.532,,
Wardha,2000 - 2001,"43,100.00","43,900.00",1.02,18.916,35.614,26.558,15.242,3.014,3.104,,
Wardha,2001 - 2002,"36,100.00","34,900.00",0.97,17.916,34.536,25.646,16.104,3.456,3.266,,
Wardha,2002 - 2003,"34,500.00","31,700.00",0.92,18.408,35.404,26.476,15.24,2.946,3.446,,
Wardha,2003 - 2004,"29,800.00","29,300.00",0.98,19.154,34.168,25.89,16.32,4.87,3.448,,
Wardha,2004 - 2005,"25,200.00","22,600.00",0.9,18.694,35.714,26.432,15.608,3.404,3.216,,
Wardha,2005 - 2006,"19,800.00","16,000.00",0.81,17.672,34.226,25.854,15.972,6.268,3.478,,
Wardha,2006 - 2007,"15,600.00","13,300.00",0.85,19.274,33.748,26.108,16.58,5.098,3.112,,
Wardha,2007 - 2008,"10,400.00","7,800.00",0.75,17.968,33.778,25.5,15.994,4.466,3.186,,
Wardha,2008 - 2009,"4,300.00","1,500.00",0.35,17.804,34.438,25.55,16.052,4.294,2.968,,
Wardha,2009 - 2010,"3,700.00","1,700.00",0.46,18.158,34.716,26.52,16.106,4.042,3.382,,
Wardha,2010 - 2011,"3,100.00","1,500.00",0.48,19.512,33.762,26.538,17.43,5.814,3.21,,
Wardha,2011 - 2012,"3,200.00","2,300.00",0.72,18.844,34.638,25.892,15.774,3.032,3.292,,
Wardha,2012 - 2013,"4,000.00","3,500.00",0.88,17.884,34.326,25.7,16.168,5.09,3.316,,
Wardha,2013 - 2014,"3,000.00",700,0.23,18.612,33.114,25.05,17.06,7.17,3.446,,
Wardha,2014 - 2015,"4,000.00","1,700.00",0.43,19.278,36.882,27.23,14.948,3.108,3.774,,
Wardha,2015 - 2016,"4,300.00","2,200.00",0.51,19.25,35.704,27.038,15.754,3.078,3.294,,
Wardha,2016 - 2017,"3,600.00","1,800.00",0.5,18.334,33.888,25.542,15.99,5.974,3.338,,
Wardha,2017 - 2018,"3,000.00","1,300.00",0.43,19.13,34.926,26.468,16.624,4.592,3.152,,
Wardha,2018 - 2019,"2,269.00",553,0.24,18.844,35.216,26.302,15.514,3.588,3.182,,
Wardha,2019 - 2020,747,167,0.22,19.944,34.538,26.744,16.726,4.316,3.356,,
Wardha,2020 - 2021,739.66,159.39,0.22,18.606,33.172,25.742,17.522,5.52,2.746,,
Wardha,2021 - 2022,651.65,139.65,0.21,18.368,33.242,25.586,17.778,6.588,3.068,,
Wardha,2022 - 2023,306.78,11.22,0.04,18.096,33.818,25.42,16.63,6.958,3.118,,
Washim,1999 - 2000,"71,600.00","96,100.00",1.34,18.148,34.16,25.436,0,0,0,,
Washim,2000 - 2001,"66,800.00","79,900.00",1.2,19,34.588,26.296,0,0,0,,
Washim,2001 - 2002,"66,300.00","80,800.00",1.22,18.476,35.04,25.91,0,0,0,,
Washim,2002 - 2003,"62,700.00","73,900.00",1.18,18.846,35.592,26.484,0,0,0,,
Washim,2003 - 2004,"59,300.00","77,200.00",1.3,19.01,34.124,25.876,0,0,0,,
Washim,2004 - 2005,"52,500.00","53,300.00",1.02,18.934,35.29,26.394,0,0,0,,
Washim,2005 - 2006,"49,100.00","55,400.00",1.13,18.202,33.666,25.508,0,0,0,,
Washim,2006 - 2007,"50,600.00","65,000.00",1.28,19.422,33.602,25.846,0,0,0,,
Washim,2007 - 2008,"40,600.00","60,100.00",1.48,18.1,33.422,25.29,0,0,0,,
Washim,2008 - 2009,"29,900.00","45,000.00",1.51,18.01,34.402,25.628,0,0,0,,
Washim,2009 - 2010,"25,600.00","38,900.00",1.52,18.564,34.882,26.514,0,0,0,,
Washim,2010 - 2011,"26,500.00","30,000.00",1.13,19.778,33.414,26.226,0,0,0,,
Washim,2011 - 2012,"17,700.00","20,400.00",1.15,19.452,34.618,26.156,0,0,0,,
Washim,2012 - 2013,"15,900.00","19,500.00",1.23,18.184,34.492,25.802,0,0,0,,
Washim,2013 - 2014,"15,000.00","8,100.00",0.54,18.496,32.172,24.888,0,0,0,,
Washim,2014 - 2015,"10,000.00","7,500.00",0.75,19.404,36.9,27.2,0,0,0,,
Washim,2015 - 2016,"9,600.00","4,300.00",0.45,20.102,36.624,27.732,0,0,0,,
Washim,2016 - 2017,"7,600.00","5,700.00",0.75,18.388,33.92,25.328,0,0,0,,
Washim,2017 - 2018,"8,554.00","4,100.00",0.48,19.328,35.082,26.492,0,0,0,,
Washim,2018 - 2019,"9,660.00","4,850.00",0.5,18.988,35.3,26.47,0,0,0,,
Washim,2019 - 2020,"6,004.00","2,141.00",0.36,20.226,34.42,26.71,0,0,0,,
Washim,2020 - 2021,"5,599.59","3,215.42",0.57,18.956,32.98,25.668,0,0,0,,
Washim,2021 - 2022,"6,441.91","4,895.21",0.76,18.628,32.636,25.476,0,0,0,,
Washim,2022 - 2023,364.11,170.19,0.47,18.104,33.944,25.288,0,0,0,,
Yavatmal,1999 - 2000,"1,53,500.00","1,84,200.00",1.2,18.598,34.664,26.028,0,0,0,,
Yavatmal,2000 - 2001,"1,54,400.00","1,70,200.00",1.1,19.456,35.052,26.73,0,0,0,,
Yavatmal,2001 - 2002,"1,45,500.00","1,59,200.00",1.09,19.18,35.78,26.638,0,0,0,,
Yavatmal,2002 - 2003,"1,39,400.00","1,64,600.00",1.18,19.424,35.842,26.976,0,0,0,,
Yavatmal,2003 - 2004,"1,29,100.00","1,32,800.00",1.03,19.666,34.462,26.404,0,0,0,,
Yavatmal,2004 - 2005,"1,15,100.00","1,13,000.00",0.98,19.468,35.34,26.79,0,0,0,,
Yavatmal,2005 - 2006,"1,15,000.00","88,400.00",0.77,18.866,33.994,25.98,0,0,0,,
Yavatmal,2006 - 2007,"83,500.00","82,000.00",0.98,19.916,34.118,26.488,0,0,0,,
Yavatmal,2007 - 2008,"81,700.00","88,400.00",1.08,18.79,33.794,25.778,0,0,0,,
Yavatmal,2008 - 2009,"74,400.00","72,000.00",0.97,18.518,34.586,26.104,0,0,0,,
Yavatmal,2009 - 2010,"71,600.00","37,600.00",0.53,19.232,35.42,26.99,0,0,0,,
Yavatmal,2010 - 2011,"68,500.00","52,400.00",0.76,20.17,34.042,26.818,0,0,0,,
Yavatmal,2011 - 2012,"67,000.00","86,100.00",1.29,20.044,35.334,26.89,0,0,0,,
Yavatmal,2012 - 2013,"59,600.00","68,700.00",1.15,18.374,34.838,26.218,0,0,0,,
Yavatmal,2013 - 2014,"48,300.00","15,600.00",0.32,18.942,32.304,25.396,0,0,0,,
Yavatmal,2014 - 2015,"43,100.00","19,200.00",0.45,19.692,37.322,27.628,0,0,0,,
Yavatmal,2015 - 2016,"42,100.00","17,100.00",0.41,20.588,36.662,28.018,0,0,0,,
Yavatmal,2016 - 2017,"29,900.00","13,500.00",0.45,18.83,33.91,25.564,0,0,0,,
Yavatmal,2017 - 2018,"22,546.00","12,100.00",0.54,19.62,34.79,26.564,0,0,0,,
Yavatmal,2018 - 2019,"14,471.00","4,845.00",0.33,19.37,35.278,26.724,0,0,0,,
Yavatmal,2019 - 2020,"14,057.00","4,393.00",0.31,20.874,34.724,27.114,0,0,0,,
Yavatmal,2020 - 2021,"14,057.03","5,299.64",0.38,19.584,32.91,26.012,0,0,0,,
Yavatmal,2021 - 2022,"14,057.03","3,538.15",0.25,19.514,32.778,25.998,0,0,0,,
Yavatmal,2022 - 2023,"4,901.09","1,093.43",0.22,18.654,34.212,25.854,0,0,0,,
